occurrenceID,institutionCode,catalogNumber,sex,scientificName,country,verbatime,recordedBy,lifeStage,bibliographicCitation,AssociatedTaxa,TypeStatus,kingdom,class,order,family,rank,scientificNameAuthorship,genus,specificEpithet,eventDate,verbatimEventDate,decimalLatitude,decimalLongitude,coordinatuncertantyinmeters,habitat,minimumElevationInMeters,maximumElevationInMeters,stateProvince,county,municipality,locationRemarks,samplingprotocol,Column,rights,rightsHolder
878c4d76-85ac-11ea-bc55-0242ac130003,UFES,CNCHYMEN 132936,female,Gryonoides brasiliensis,Brazil,"BRAZIL: Anguas Vermelhas, Minas Gerais XII. 1983 M. Alvarenga",M. Alvarenga,adult,,,Holotype of Gryonoides brasiliensis,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,brasiliensis,1983-12,XII. 1983,-15.739468,-41.454623,3036,,,,Anguas Vermelhas,Minas Gerais,,,,,,
878c5000-85ac-11ea-bc55-0242ac130003,CNCI,CNCHYMEN 132937,female,Gryonoides brasiliensis,Brazil,"BRAZIL: Anguas Vermelhas, Minas Gerais XII. 1983 M. Alvarenga",M. Alvarenga,adult,,,Paratype of Gryonoides brasiliensis,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,brasiliensis,1984-12,XII. 1984,-15.739468,-41.454623,3036,,,,Anguas Vermelhas,Minas Gerais,,,,,,
000e4b3e-8655-11ea-bc55-0242ac130003,CNCI,CNCHYMEN 133023,female,Gryonoides flaviclavus flaviclavus,Peru,"PERU: Loreto, Madre Selva Biol. Station, 11-13.ii.2013, T. Pucci, sweeping",T. Pucci,adult,,,Paratype of Gryonoides flaviclavus,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,2013-02-11/13,11-13.ii.2013,-3.617222,-72.23556,1000,,,,,,,,,,,
000e172c-8655-11ea-bc55-0242ac130003,CNCI,CNCHYMEN 132723,female,Gryonoides flaviclavus flaviclavus,Venezuela,"VENEZUELA: Aragua El Limon, Poso del Diablo, I. 1994 YPT J.L. Garcia in creekbed",J. L. Garcia,adult,,,Paratype of Gryonoides flaviclavus,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,1994-01,I. 1994,10.2979,-67.6004,2000,Creek Bed,,,,,,,,,,
000e17f4-8655-11ea-bc55-0242ac130003,CNCI,CNCHYMEN 132724,female,Gryonoides flaviclavus flaviclavus,Venezuela,"VENEZUELA: Aragua El Limon, Poso del Diablo, I. 1994 YPT J.L. Garcia in creekbed",J. L. Garcia,adult,,,Paratype of Gryonoides flaviclavus,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,1994-01,I. 1994,10.2979,-67.6004,2000,Creek Bed,,,,,,,,,,
000e1966-8655-11ea-bc55-0242ac130003,CNCI,CNCHYMEN 132725,female,Gryonoides flaviclavus flaviclavus,Venezuela,"VENEZUELA: Aragua El Limon, Poso del Diablo, I. 1994 YPT J.L. Garcia in creekbed",J. L. Garcia,adult,,,Paratype of Gryonoides flaviclavus,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,1994-01,I. 1994,10.2979,-67.6004,2000,Creek Bed,,,,,,,,,,
000e1a2e-8655-11ea-bc55-0242ac130003,CNCI,CNCHYMEN 132726,female,Gryonoides flaviclavus flaviclavus,Venezuela,"VENEZUELA: Aragua El Limon, Poso del Diablo, I. 1994 YPT J.L. Garcia in creekbed",J. L. Garcia,adult,,,Paratype of Gryonoides flaviclavus,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,1994-01,I. 1994,10.2979,-67.6004,2000,Creek Bed,,,,,,,,,,
000e1aec-8655-11ea-bc55-0242ac130003,CNCI,CNCHYMEN 132727,female,Gryonoides flaviclavus flaviclavus,Venezuela,"VENEZUELA: Aragua El Limon, Poso del Diablo, I. 1994 YPT J.L. Garcia in creekbed",J. L. Garcia,adult,,,Paratype of Gryonoides flaviclavus,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,1994-01,I. 1994,10.2979,-67.6004,2000,Creek Bed,,,,,,,,,,
000e1c7c-8655-11ea-bc55-0242ac130003,CNCI,CNCHYMEN 132728,female,Gryonoides flaviclavus flaviclavus,Venezuela,"VENEZUELA: Aragua El Limon, Poso del Diablo, I. 1994 YPT J.L. Garcia in creekbed",J. L. Garcia,adult,,,Paratype of Gryonoides flaviclavus,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,1994-01,I. 1994,10.2979,-67.6004,2000,Creek Bed,,,,,,,,,,
000e1d4e-8655-11ea-bc55-0242ac130003,CNCI,CNCHYMEN 132729,female,Gryonoides flaviclavus flaviclavus,Venezuela,"VENEZUELA: Aragua El Limon, Poso del Diablo, I. 1994 YPT J.L. Garcia in creekbed",J. L. Garcia,adult,,,Paratype of Gryonoides flaviclavus,Animalia,Insecta,Hymenoptera,Scelionidae,species,Masner and Mikó,Gryonoides,flavicava,1994-01,I. 1994,10.2979,-67.6004,2000,Creek Bed,,,,,,,,,,
